key,app_date,app_type,app_status,lat,long
1,7/2/03,RESIDENTIAL REROOF,APPROVED,45.681124,-111.040192
2,4/15/14,ELECTRIC ONLY,APPROVED,45.682475,-111.039692
3,10/2/13,RES ATTACHED SFD,APPROVED,45.681666,-111.036905
4,4/4/14,SIGN PERMIT,APPROVED,45.676971,-111.067872
5,1/17/14,RES ATTACHED SFD,APPROVED,45.690533,-111.105968
6,10/2/13,COMM TENANT IMPROVEMENT,APPROVED,45.678879,-111.023061
7,10/2/13,RES ATTACHED SFD,APPROVED,45.677075,-111.036851
8,4/10/14,PLUMBING ONLY,APPROVED,45.698764,-111.044495
9,1/17/14,RES ATTACHED SFD,APPROVED,45.690443,-111.105955
10,1/17/14,RES ATTACHED SFD,APPROVED,45.690443,-111.105955
11,4/11/14,RES ALTERATION,APPROVED,45.673296,-111.033472
12,3/3/14,RES SINGLE FAMILY DWELLING,APPROVED,45.704353,-111.012885
13,10/2/13,RES GARAGES & CARPORTS,APPROVED,45.675635,-111.035373
14,4/9/14,ELECTRIC ONLY,APPROVED,45.675719,-111.052977
15,10/2/13,RES ALTERATION,APPROVED,45.650343,-111.036243
16,10/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.677746,-111.112018
17,1/17/14,RES ATTACHED SFD,APPROVED,45.690353,-111.105955
18,10/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.677566,-111.112004
19,4/4/14,RES ALTERATION,APPROVED,45.671751,-111.066197
20,10/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.677386,-111.112017
21,10/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.677026,-111.112466
22,7/10/03,RES GARAGES & CARPORTS,APPROVED,45.651961,-111.042764
23,10/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.670368,-111.109127
24,9/30/13,RES 5+ UNITS,APPROVED,45.695959,-111.073251
25,9/30/13,ELECTRIC ONLY,APPROVED,45.675094,-111.038454
26,7/11/03,COMM OTHER NON-RESIDENTIAL BLD,APPROVED,45.6751,-111.014201
